refseq,gene,exons,8N,8T,33N,33T,51N,51T,mapping_status
NM_001077489,GNAS,12,1755,878,1811,2212,4839,2930,redundant_transcript
NM_032166,ATRIP,12,94,108,100,88,209,126,redundant_transcript
NM_006738,AKAP13,37,3308,1860,3303,3411,11405,6901,selected
NM_007200,AKAP13,37,3311,1860,3298,3404,11406,6907,redundant_transcript
NM_001388,DRG2,13,197,106,195,363,471,284,selected
NM_152653,UBE2E2,6,159,64,216,245,370,223,selected
NM_018373,SYNJ2BP,4,452,475,480,463,1133,686,selected
NM_001077186,MYH14,42,2708,1675,1410,4326,4084,772,selected
NM_024729,MYH14,41,2708,1675,1410,4326,4084,772,redundant_transcript
NM_138969,RDHE2,7,308,190,534,305,324,1189,selected
NM_145912,NFAM1,6,112,69,76,320,1126,254,selected
NR_002973,SNORA40,1,67,41,710,408,462,706,selected
NM_004651,USP11,21,245,151,292,318,859,295,selected
NM_032947,MST150,2,133,82,80,215,489,266,selected
NM_003254,TIMP1,6,224,138,180,481,3376,406,selected
NM_015090,NFASC,27,114,70,237,311,690,89,selected
NM_139162,SMCR7,4,170,105,257,141,410,287,selected
NM_003338,UBE2D1,7,191,118,248,208,692,428,selected
NM_052851,STARD13,14,172,106,149,153,1199,284,selected
NM_053028,MYLK,32,517,320,989,918,1752,2303,redundant_transcript
NM_016141,DYNC1LI1,13,189,117,314,284,550,587,selected
NM_019012,PLEKHA5,26,380,235,520,355,569,601,selected
NM_017868,TTC12,22,122,75,166,66,227,245,selected
NM_012071,COMMD3,8,96,59,127,115,296,239,selected
NM_201266,NRP2,17,757,467,566,1815,1949,792,redundant_transcript
NM_201279,NRP2,16,754,467,566,1806,1946,789,redundant_transcript
NM_003872,NRP2,17,756,467,566,1808,1947,791,selected
NM_018017,C10orf118,16,464,287,724,572,739,1295,selected
NM_016282,AK3,5,389,240,543,637,988,270,selected
NM_001007794,CEPT1,9,151,93,279,160,352,347,selected
NM_000314,PTEN,9,682,422,802,539,1645,1851,selected
NM_177441,TMUB2,3,238,147,282,218,766,489,redundant_transcript
NM_020536,CSRP2BP,11,195,120,184,381,536,281,selected
NM_001077394,DPH5,8,65,40,98,64,173,162,selected
NM_152388,ALS2CR4,12,302,186,504,413,496,790,redundant_transcript
NM_207293,MBNL1,9,2027,1251,2885,1926,4636,4476,redundant_transcript
NM_001270,CHD1,35,712,441,707,703,1383,788,selected
NM_012252,TFEC,8,53,33,86,84,240,73,selected
NM_001018058,TFEC,7,53,33,86,84,231,73,redundant_transcript
NM_145263,SPATA18,13,125,13,175,170,224,137,selected
NM_013974,DDAH2,7,259,192,212,207,660,253,selected
NM_001127692,PCCA,23,115,132,223,217,306,122,redundant_transcript
NM_001031806,ALDH3A2,11,1207,704,1837,1790,1412,1378,selected
NM_000382,ALDH3A2,10,1205,702,1835,1786,1410,1377,redundant_transcript
NM_057170,GIT2,18,438,196,488,477,1288,807,redundant_transcript
NM_181806,AASDH,15,116,36,193,188,232,275,selected
NM_012294,RAPGEF5,26,801,611,1146,1116,1878,1132,selected
NM_002733,PRKAG1,12,366,122,305,297,594,598,selected
NM_014895,KIAA1009,27,146,71,209,203,297,200,selected
NM_007373,SHOC2,9,447,274,712,695,1177,1250,selected
NM_015036,ENDOD1,2,800,258,674,655,1789,2810,selected
NM_031885,BBS2,17,319,191,486,475,550,592,selected
NM_001681,ATP2A2,21,4583,3241,4611,4485,12384,6293,selected
NM_024819,DCAKD,5,245,111,216,211,647,451,redundant_transcript
NM_133174,APBB3,12,163,148,177,173,607,202,redundant_transcript
NM_024989,PGAP1,27,614,231,1432,1392,1122,1295,selected
NM_015200,PDS5A,33,1303,529,1511,1470,2638,2893,redundant_transcript
NM_012203,GRHPR,9,299,162,388,378,622,510,selected
NM_003906,MCM3AP,28,1051,1851,1330,1292,3622,2045,selected
NM_032142,CEP192,40,639,934,1437,1396,1772,936,selected
NM_006955,ZNF33B,5,94,25,175,170,279,331,selected
NM_133173,APBB3,12,166,148,184,179,621,209,redundant_transcript
NM_015525,IBTK,29,796,352,1092,1067,1712,1736,selected
NM_182769,CREM,6,55,21,32,51,224,136,redundant_transcript
NM_001077188,HS6ST2,6,137,6,97,391,176,107,selected
NM_147175,HS6ST2,4,137,6,97,383,176,107,redundant_transcript
NR_003036,SNORD6,1,10563,19767,54424,43255,57252,34724,selected
NM_031915,SETDB2,15,106,114,262,77,314,190,selected
NM_018054,ARHGAP17,19,471,512,588,531,1494,906,redundant_transcript
NM_080621,SAMD10,5,80,12,42,112,68,41,selected
NR_024095,RANBP6,2,249,102,253,285,394,239,redundant_transcript
NM_001698,AUH,10,63,86,121,113,182,110,selected
NM_203406,LOC153364,2,98,63,99,66,163,99,selected
NM_013265,C11orf2,10,600,1487,622,573,1558,950,selected
NM_172070,UBR3,39,1221,857,1439,768,3084,1869,selected
NM_018847,KLHL9,1,281,110,458,573,858,521,selected
NM_001135644,DCTN4,13,535,413,757,596,1489,904,redundant_transcript
NM_002271,IPO5,29,1462,954,1203,1130,3805,2311,selected
NM_001031726,C19orf12,3,134,130,140,136,521,317,selected
NM_152878,MAFF,3,407,248,118,453,435,264,redundant_transcript
NM_199417,C3orf60,4,183,62,103,239,285,173,redundant_transcript
NM_001033858,DCLRE1C,16,110,60,154,154,334,203,selected
NM_031448,C19orf12,3,133,130,143,134,522,318,redundant_transcript
NM_000520,HEXA,14,256,159,254,508,1229,705,selected
NM_033356,CASP8,8,119,74,155,101,423,415,redundant_transcript
NM_032434,ZNF512,14,277,172,304,422,691,415,selected
NM_007366,PLA2R1,30,708,440,1263,725,681,1863,selected
NM_052937,PCMTD1,6,554,346,939,596,1840,2306,selected
NM_053027,MYLK,33,520,323,993,930,1780,2325,redundant_transcript
NM_013286,RBM15B,1,867,542,478,1122,1665,1001,selected
NM_033054,MYO1G,22,103,64,92,178,793,166,selected
NM_006775,QKI,8,1075,672,1378,1635,4383,1992,selected
NM_005751,AKAP9,50,1754,1090,3360,2283,3606,4705,selected
NM_147185,AKAP9,50,1748,1090,3352,2270,3595,4690,redundant_transcript
NM_000182,HADHA,20,842,524,702,1013,2218,1137,selected
NM_005590,MRE11A,19,159,99,489,314,593,415,redundant_transcript
NM_003045,SLC7A1,13,3760,2339,3941,3571,2792,4792,selected
NM_016578,RSF1,16,513,319,727,598,1224,1220,selected
NM_016827,OGG1,4,73,45,105,250,256,104,redundant_transcript
NM_173206,PIAS2,13,182,113,243,239,351,148,redundant_transcript
NM_022168,IFIH1,16,157,67,201,197,146,365,selected
NM_000282,PCCA,24,118,139,223,219,312,129,selected
NM_001566,INPP4A,26,194,337,181,178,851,431,redundant_transcript
NM_000297,PKD2,15,288,239,394,387,1131,506,selected
NM_006166,NFYB,8,142,80,165,162,227,207,selected
NM_212461,PRKAG1,12,370,122,307,301,595,598,redundant_transcript
NM_017931,TTC38,14,109,122,219,215,611,268,selected
NM_001134420,CDC7,12,107,63,179,176,222,195,redundant_transcript
NM_172316,MEIS2,13,69,26,160,157,180,117,redundant_transcript
NM_021648,TSPYL4,1,250,130,283,278,570,519,selected
NM_001135998,NDUFB11,3,114,184,210,206,245,144,selected
NM_020418,PCBP4,10,187,150,176,173,438,104,redundant_transcript
NM_025196,GRPEL1,4,129,61,105,103,211,184,selected
NM_173601,GLT8D3,8,266,98,268,263,545,365,selected
NM_030640,DUSP16,7,430,163,461,453,587,573,selected
NM_005935,AFF1,20,1793,922,1613,1586,3558,2678,selected
NM_001040715,LOC653319,7,206,163,352,345,739,443,selected
NM_005933,MLL,36,1852,525,1576,1550,3467,3005,selected
NM_015110,SMC5,25,586,329,809,795,1486,1124,selected
NR_001453,LOC85389,1,6474,2838,15291,20846,12292,7516,selected
NM_183060,CREM,6,54,25,33,49,224,137,redundant_transcript
NM_024341,ZNF557,8,158,78,141,166,320,195,redundant_transcript
NM_001044387,ZNF557,8,157,78,141,166,320,195,selected
NM_001003701,ATP5J,4,63,52,136,75,212,129,redundant_transcript
NM_001685,ATP5J,4,63,52,136,75,212,129,redundant_transcript
NR_024094,RANBP6,2,256,102,258,290,406,248,selected
NM_015032,PDS5B,35,437,384,697,517,1156,708,selected
NM_002270,TNPO1,25,1154,919,1608,1214,3799,2328,selected
NM_005004,NDUFB8,5,211,192,182,175,417,255,selected
NM_030809,FAM130A1,5,383,184,239,540,1298,797,selected
NM_004075,CRY1,13,114,78,268,183,292,178,selected
NM_199074,C3orf60,5,162,47,86,207,240,147,redundant_transcript
NM_017822,C12orf41,10,259,79,249,415,662,405,selected
NM_005921,MAP3K1,20,969,685,1411,523,1696,1038,selected
NM_021706,LAIR1,9,61,38,73,133,552,142,redundant_transcript
NM_001111307,PDE4A,15,85,53,80,161,420,210,selected
NM_031229,RBCK1,12,437,274,366,1037,996,467,selected
NM_001135054,SIGIRR,10,74,46,93,138,275,65,redundant_transcript
NM_139047,MAPK8,11,109,68,245,179,267,259,redundant_transcript
NM_139046,MAPK8,11,109,68,245,180,269,266,redundant_transcript
NM_152292,RG9MTD2,8,58,36,61,55,85,136,selected
NM_001013660,FRRS1,17,231,145,323,262,239,456,selected
NM_033388,ATG16L2,18,246,154,282,314,891,274,selected
NM_001033859,ACADVL,19,3725,2335,2751,4953,7580,3416,redundant_transcript
NM_005830,MRPS31,7,90,56,120,62,165,129,selected
NM_003333,UBA52,5,427,268,426,398,884,726,redundant_transcript
NM_014772,KIAA0427,12,373,234,352,591,1043,516,selected
NM_001004302,ZNF783,6,157,98,152,321,701,183,selected
NM_030962,SBF2,40,705,442,857,718,1700,1845,selected
NM_022566,MESDC1,1,361,227,138,350,877,480,selected
NM_207296,MBNL1,8,1990,1249,2862,1909,4579,4430,redundant_transcript
NM_145246,C10orf4,14,98,61,63,47,153,165,selected
NM_197968,ZMYM2,25,1101,693,1808,1203,1960,2178,redundant_transcript
NM_003453,ZMYM2,26,1101,693,1808,1203,1960,2179,selected
NM_172200,IL15RA,7,99,7,94,147,358,221,redundant_transcript
NM_017904,TTC22,6,324,180,175,263,394,243,redundant_transcript
NM_018442,IQWD1,20,448,293,528,369,1597,983,selected
NM_001098783,RPP14,6,126,123,217,162,318,196,selected
NM_080656,CDKN2AIPNL,4,35,72,85,66,95,58,selected
NM_007042,RPP14,6,126,121,217,160,317,195,redundant_transcript
NM_015382,HECTD1,43,3763,2712,4905,4721,8990,5542,selected
NM_022821,ELOVL1,8,408,200,285,446,1004,618,selected
NM_004727,SLC24A1,10,108,39,82,229,258,159,selected
NM_017945,SLC35A5,7,117,32,202,246,478,294,selected
NM_003590,CUL3,16,664,539,1052,680,1334,822,selected
NM_018337,ZNF444,5,125,188,106,92,415,255,selected
NM_032380,GFM2,21,197,245,318,282,415,256,selected
NM_001039618,CREBZF,1,666,422,972,846,2182,1349,selected
NM_130898,CREB3L4,10,57,45,114,83,103,63,selected
NR_003259,GNAS,13,1584,759,1688,2081,4491,2773,redundant_transcript
NM_080425,GNAS,13,1594,759,1683,2078,4489,2769,redundant_transcript
NM_001077490,GNAS,13,1594,759,1683,2078,4489,2769,redundant_transcript
NM_016221,DCTN4,13,557,412,782,594,1513,935,redundant_transcript
NM_001135643,DCTN4,14,557,412,782,594,1513,935,selected
NM_016592,GNAS,13,1595,759,1682,2078,4494,2769,redundant_transcript
NM_153188,TNPO1,25,1168,933,1609,1220,3829,2362,redundant_transcript
NM_019030,DHX29,27,528,489,851,400,1232,760,selected
NM_001085425,ARSA,9,197,90,164,299,565,347,selected
NM_058216,RAD51C,9,28,55,53,48,103,63,selected
NM_199073,C3orf60,5,162,47,86,207,239,147,redundant_transcript
NM_024561,NARG1L,20,340,359,453,201,535,330,selected
NM_001039770,FLJ45032,2,124,64,105,179,399,245,selected
NM_033255,EPSTI1,11,94,39,116,115,188,312,redundant_transcript
NM_001002264,EPSTI1,13,94,39,116,115,188,312,selected
NM_001005407,CACNA1H,34,82,114,78,77,547,217,redundant_transcript
NM_021098,CACNA1H,35,82,114,78,77,547,217,selected
NM_006480,RGS14,15,182,177,252,249,493,218,selected
NM_017949,CUEDC1,11,133,117,192,190,468,152,selected
NM_002572,PAFAH1B2,6,191,108,202,199,646,945,selected
NM_004255,COX5A,5,106,114,120,119,179,104,selected
NM_020117,LARS,32,1259,1159,1652,1628,2569,1280,selected
NM_003693,SCARF1,11,159,132,144,142,928,173,selected
NM_017707,ASAP3,25,416,288,341,336,2101,401,selected
NM_000320,QDPR,7,76,30,91,90,202,142,selected
NM_001025778,VRK3,14,75,37,104,103,295,287,redundant_transcript
NM_145349,SCARF1,11,152,131,144,142,899,169,redundant_transcript
NM_006965,ZNF24,4,815,880,941,927,2201,1297,selected
NM_145018,C11orf82,6,85,47,88,87,107,205,selected
NM_004649,C21orf33,7,499,346,410,404,1373,626,selected
NM_001128631,DCAKD,5,241,111,213,210,622,446,selected
NM_013399,C16orf5,6,354,221,214,212,535,334,selected
NM_001005362,DNM2,20,837,802,807,798,2199,1305,redundant_transcript
NM_001005361,DNM2,21,837,802,807,798,2199,1305,redundant_transcript
NM_006831,CLP1,3,68,40,78,77,131,194,selected
NR_003072,SNORD91A,1,2453,2927,35389,34983,23814,14166,selected
NM_004671,PIAS2,14,209,133,294,291,445,200,selected
NM_213560,PKN1,22,149,94,173,181,1388,218,redundant_transcript
NM_138426,GLCCI1,8,78,49,151,84,192,198,selected
NM_003155,STC1,4,187,118,50,37,665,1025,selected
NM_199320,PHF17,11,163,103,196,228,515,217,selected
NM_198077,C1orf52,3,130,82,140,88,191,298,redundant_transcript
NM_006631,ZNF266,11,148,93,364,185,534,417,selected
NM_006457,PDLIM5,13,1557,986,1775,1632,2727,2144,redundant_transcript
NM_031262,HNRNPK,17,376,238,617,467,808,852,redundant_transcript
NM_017790,RGS3,18,75,47,63,67,365,41,redundant_transcript
NM_020961,KIAA1627,11,190,120,284,82,282,321,selected
NM_001015892,TAF9,3,124,78,104,139,238,132,selected
NM_001135770,PVR,6,148,93,73,135,537,263,redundant_transcript
NM_000908,NPR3,8,56,35,86,426,114,23,selected
NM_002741,PKN1,22,150,95,171,180,1404,217,selected
NM_006202,PDE4A,10,76,48,57,155,384,185,redundant_transcript
NM_194356,STX2,11,82,52,156,306,712,401,selected
NM_005187,CBFA2T3,12,65,41,31,109,241,63,selected
NM_020819,FAM135A,21,1189,757,1238,1682,1338,622,redundant_transcript
NM_001981,EPS15,25,835,532,1057,636,2025,1607,selected
NM_019590,KIAA1217,21,1819,1161,2335,2288,3367,2484,selected
NM_017520,MPHOSPH8,14,317,202,327,284,586,453,selected
NM_003427,ZNF76,14,156,99,176,206,601,325,selected
NM_001995,ACSL1,21,1104,702,1328,1538,5089,1369,selected
NM_172020,POM121,15,82,52,69,93,209,117,selected
NM_000018,ACADVL,20,3783,2401,2823,5093,7774,3472,selected
NM_018010,IFT57,11,140,89,267,170,297,356,selected
NM_002662,PLD1,27,511,325,818,590,1096,1470,selected
NM_007032,TRIOBP,14,863,550,730,1317,2313,987,redundant_transcript
NM_012323,MAFF,3,397,253,125,443,437,264,selected
NM_207297,MBNL1,8,1961,1251,2834,1865,4505,4371,redundant_transcript
NM_001042384,CEP63,12,103,65,120,73,163,146,redundant_transcript
NM_002385,MBP,6,69,85,137,95,128,79,redundant_transcript
NM_001025081,MBP,7,69,85,137,95,128,79,redundant_transcript
NM_001025092,MBP,5,68,85,137,95,128,79,redundant_transcript
NM_001025090,MBP,6,68,85,137,95,128,79,redundant_transcript
NM_033414,ZNF622,6,144,41,161,386,592,367,selected
NM_052880,PIK3IP1,6,163,19,181,378,643,398,selected
NM_000157,GBA,11,96,46,92,151,307,190,redundant_transcript
NM_015426,WDR51A,11,60,30,32,100,125,77,selected
NM_001017977,IQWD1,19,448,287,525,369,1574,980,redundant_transcript
NM_139075,TPCN2,25,189,3130,304,256,800,496,selected
NM_001031716,OBFC2A,6,851,825,992,761,2384,1478,selected
NM_001665,RHOG,2,267,101,140,239,746,464,selected
NR_023318,ADPGK,7,215,93,354,600,959,594,redundant_transcript
NM_007215,POLG2,8,68,65,183,105,184,114,selected
NM_001127190,CSK,14,592,265,425,775,1187,737,selected
NM_003849,SUCLG1,9,355,286,354,222,569,353,selected
NM_052864,TIFA,2,149,105,230,123,254,157,selected
NM_020863,ZFAT,16,647,313,121,389,551,342,selected
NM_199070,C3orf60,5,162,47,86,212,239,148,redundant_transcript
NM_013302,EEF2K,18,795,659,1278,1107,2137,1326,selected
NM_173344,ST3GAL1,10,206,124,157,265,751,465,selected
NM_003033,ST3GAL1,9,213,129,157,270,800,496,redundant_transcript
NM_005627,SGK1,12,1779,1849,2851,2359,2267,1407,selected
NM_030641,APOL6,3,803,186,686,682,1255,1543,selected
NM_005475,SH2B3,8,291,224,268,267,1897,532,selected
NR_003103,POT1,18,90,32,149,148,206,485,redundant_transcript
NM_000401,EXT2,16,485,279,576,575,1824,2075,selected
NM_207122,EXT2,14,484,279,575,571,1815,2072,redundant_transcript
NM_001007559,SS18,11,464,244,635,631,919,668,selected
NM_020987,ANK3,44,864,489,1246,1238,1890,1482,selected
NM_003503,CDC7,12,107,63,179,178,223,193,redundant_transcript
NM_017583,TRIM44,5,627,369,607,605,1637,1043,selected
NM_020121,UGCGL2,39,192,143,348,347,776,461,selected
NM_006887,ZFP36L2,2,2165,1205,2014,2010,2710,2795,selected
NM_015093,MAP3K7IP2,7,487,303,563,560,1240,1497,selected
NM_024525,TTC13,23,134,50,228,227,420,339,selected
NM_004135,IDH3G,13,163,165,217,216,382,206,selected
NM_016217,HECA,4,1033,578,1162,1156,2109,3085,selected
NM_032102,SFRS2B,1,358,216,402,399,713,842,selected
NM_001139,ALOX12B,15,251,161,61,295,378,40,selected
NM_018271,THNSL2,9,136,87,112,30,283,281,selected
NM_001127586,ING4,7,83,53,171,119,212,238,redundant_transcript
NM_001105531,FAM135A,22,1206,774,1261,1708,1384,641,selected
NM_148898,FOXP2,18,77,49,345,311,187,128,selected
NM_014491,FOXP2,17,77,49,345,311,184,128,redundant_transcript
NM_148899,FOXP2,18,77,49,351,314,191,133,redundant_transcript
NM_016099,GOLGA7,6,160,102,322,205,408,676,selected
NM_030973,MED25,18,299,191,239,281,552,300,selected
NM_014937,INPP5F,20,216,138,288,190,518,461,selected
NM_001076674,TMUB2,4,203,130,248,183,677,432,selected
NM_001011666,CREB5,7,124,79,190,357,1052,461,redundant_transcript
NM_012415,RAD54B,15,83,53,169,81,93,219,selected
NM_182910,SYNE2,9,617,396,730,1053,1368,788,redundant_transcript
NM_012236,SCMH1,15,312,199,229,267,639,357,redundant_transcript
NM_001130081,PLD1,26,509,325,815,590,1087,1459,redundant_transcript
NM_004487,GOLGB1,22,2291,1472,2477,2333,4046,6738,selected
NM_016819,OGG1,6,96,61,124,212,269,106,redundant_transcript
NM_024649,BBS1,17,206,132,223,207,327,247,selected
NM_005316,GTF2H1,15,196,125,271,262,523,614,selected
NM_018031,WDR6,6,1103,706,1049,1505,3693,1859,selected
NM_003118,SPARC,10,2219,3516,3002,2998,32669,13375,selected
NM_004197,STK19,9,64,13,68,68,123,114,selected
NM_000918,P4HB,11,4634,4201,4835,4840,14292,8072,selected
NM_004046,ATP5A1,12,1469,2334,1558,1557,2791,1012,redundant_transcript
NM_001001937,ATP5A1,13,1466,2332,1558,1556,2779,1011,selected
NM_000698,ALOX5,14,31,57,161,161,647,134,selected
NM_001037666,LOC652968,9,83,23,87,87,74,116,selected
NM_001012756,ZNF260,4,162,71,214,214,469,412,selected
NM_005637,SS18,10,462,244,626,628,916,664,redundant_transcript
NM_207332,ERICH1,6,92,80,137,137,312,130,selected
NM_013269,CLEC2D,5,58,37,81,81,200,103,redundant_transcript
NM_004437,EPB41,19,811,363,749,753,1167,1154,redundant_transcript
NM_032864,PRPF38A,10,134,69,99,99,218,201,selected
NM_024537,CARS2,15,180,176,280,281,642,384,selected
NM_006969,ZNF28,5,57,0,72,72,122,158,selected
NM_014820,TOMM70A,12,870,514,835,836,1413,1488,selected
NR_024235,NDUFB11,3,114,184,211,212,258,144,redundant_transcript
NM_198155,C21orf33,6,475,326,377,379,1322,591,redundant_transcript
NM_015283,DPY19L1,22,70,57,87,87,438,178,selected
NM_024948,C10orf97,15,146,86,316,316,506,468,selected
NM_021260,ZFYVE1,12,344,208,461,461,1275,838,selected
NM_001005360,DNM2,21,848,821,842,846,2220,1361,selected
NM_004945,DNM2,20,848,821,842,846,2220,1361,redundant_transcript
NM_001099650,GLT8D3,7,255,92,263,263,536,355,redundant_transcript
NM_182678,UBE2E3,7,73,45,62,62,97,184,selected
NM_004846,EIF4E2,7,90,86,180,180,297,162,selected
NM_001042414,PSPC1,9,347,302,367,369,641,385,selected
NM_199424,WWP2,14,261,365,371,371,649,400,redundant_transcript
NM_032834,ALG10,3,51,26,82,82,69,110,selected
NM_174869,IDH3G,12,171,176,225,226,401,224,redundant_transcript
NM_020925,CACHD1,27,216,139,174,137,353,289,selected
NR_000020,SNORD33,1,26266,16933,60012,74645,45381,24794,selected
NM_001005749,GBA,13,100,64,106,162,335,204,selected
NM_001005750,GBA,13,100,64,106,162,335,204,redundant_transcript
NM_001005741,GBA,12,100,64,106,162,330,204,redundant_transcript
NM_019048,ASNSD1,6,251,162,406,339,724,493,selected
NM_001098500,KIAA1217,19,1405,905,1894,1870,2648,1923,redundant_transcript
NM_014552,GRHL1,16,1313,846,1336,724,1229,1740,selected
NM_001004419,CLEC2D,6,58,37,81,82,201,105,selected
NM_019852,METTL3,11,523,337,700,655,930,878,selected
NR_003605,C20orf199,5,197,127,360,252,247,442,selected
NM_001002296,GOLGA7,5,166,107,337,208,410,690,redundant_transcript
NM_007159,SLMAP,21,781,505,1081,823,1337,1247,selected
NM_004294,MTRF1,10,67,43,155,98,167,126,selected
NM_006959,ZNF17,3,81,52,69,67,159,119,selected
NM_022752,ZNF574,2,323,208,205,352,459,257,selected
NM_005957,MTHFR,12,769,496,560,809,1901,1090,selected
NM_001100819,MOBKL3,7,170,109,342,228,517,492,redundant_transcript
NM_016075,VPS36,14,546,351,836,693,1093,839,selected
NM_015266,SLC9A8,16,302,194,351,533,763,333,selected
NM_000466,PEX1,24,285,184,419,326,537,566,selected
NM_017680,ASPN,8,56,46,165,60,1032,646,selected
NM_021623,PLEKHA2,12,395,437,454,405,1441,901,selected
NM_001135911,PIK3IP1,5,161,19,178,378,636,396,redundant_transcript
NM_031453,FAM107B,5,132,88,358,319,809,505,selected
NM_001033910,TRAF5,11,93,170,229,151,465,290,selected
NM_004619,TRAF5,11,93,169,227,147,464,289,redundant_transcript
NM_145759,TRAF5,11,93,169,227,151,464,289,redundant_transcript
NM_001029840,C3orf23,4,49,26,86,131,175,109,redundant_transcript
NM_139033,MAPK7,7,236,61,134,363,476,297,redundant_transcript
NM_022740,HIPK2,15,2785,1600,1729,2012,5221,3266,redundant_transcript
NM_001113239,HIPK2,15,2775,1598,1718,1997,5206,3248,selected
NM_182503,ADAT2,6,177,98,300,484,425,266,selected
NM_170691,GFM2,20,195,230,310,273,406,253,redundant_transcript
NR_003023,SCARNA2,1,2942,7915,13957,9532,11112,6967,selected
NM_021946,BCORL1,13,186,115,165,238,502,314,selected
NR_002958,SNORA17,1,868,1439,10279,8238,10518,6570,selected
NM_006763,BTG2,2,1988,801,1985,2133,2667,1666,selected
NM_003691,STK16,8,61,33,68,186,178,111,redundant_transcript
NM_001085426,ARSA,9,197,90,164,292,554,346,redundant_transcript
NM_001085427,ARSA,9,193,90,163,290,541,339,redundant_transcript
NM_020702,KIAA1161,2,63,34,47,111,207,129,selected
NR_002582,SNORA7A,1,162,163,551,244,419,262,selected
NM_024719,GRTP1,8,44,96,97,32,87,54,selected
NM_015907,LAP3,13,252,163,216,202,639,460,selected
NM_003955,SOCS3,2,1982,1289,682,1240,5507,1111,selected
NM_001013848,EXOC6,22,76,49,163,265,420,111,selected
NM_016274,PLEKHO1,6,99,64,115,181,841,179,selected
NM_003380,VIM,9,3394,2202,4469,4499,21956,5349,selected
NM_032052,PATZ1,5,210,136,216,359,428,209,redundant_transcript
NM_000195,HPS1,20,329,213,367,664,1107,447,selected
NM_152600,ZNF579,2,65,42,36,74,171,76,selected
NM_004892,SEC22B,5,323,210,326,320,1027,1088,selected
NM_001404,EEF1G,10,234,152,222,297,493,281,selected
NM_000418,IL4R,11,1829,1189,1289,2108,3929,2101,selected
NM_014991,WDFY3,68,1483,964,1653,1304,4364,2825,selected
NM_001042417,RUFY2,12,90,58,117,97,212,171,redundant_transcript
NM_199482,MOBKL3,8,178,115,335,239,509,501,redundant_transcript
NM_005932,MIPEP,19,202,195,309,312,303,122,selected
NM_174966,ST3GAL3,10,50,15,87,88,198,131,redundant_transcript
NM_033274,ADAM19,23,439,320,275,277,2571,1062,selected
NM_015513,CRELD1,10,163,148,135,136,503,155,redundant_transcript
NM_001007464,RWDD1,8,85,33,92,93,217,147,redundant_transcript
NM_015922,NSDHL,8,149,61,155,156,243,234,redundant_transcript
NM_054114,TAGAP,10,58,38,115,116,345,114,selected
NM_003270,TSPAN6,8,217,79,264,267,240,339,selected
NM_001009894,C12orf29,7,117,57,160,161,253,261,selected
NM_002563,P2RY1,1,324,165,468,472,387,655,selected
NM_032402,PCDHGC3,1,442,564,479,485,1402,359,redundant_transcript
NM_018148,LINS1,8,247,74,262,265,542,457,redundant_transcript
NM_001040615,LINS1,7,247,74,262,265,542,456,redundant_transcript
NM_001040614,LINS1,8,247,74,262,265,542,457,selected
NM_001040616,LINS1,7,247,74,262,265,542,456,redundant_transcript
NM_001134419,CDC7,12,105,63,176,178,217,188,selected
NM_203343,EPB41,17,824,364,754,760,1190,1158,redundant_transcript
NM_203342,EPB41,21,847,365,759,766,1207,1182,selected
NM_001983,ERCC1,10,190,109,217,219,376,279,selected
NM_203327,SLC23A2,17,318,224,496,499,891,525,redundant_transcript
NM_001099776,LOC91431,17,64,35,105,106,142,144,selected
NM_016122,CCDC41,17,137,21,163,165,260,229,selected
NM_001005368,ZNF32,3,77,32,116,117,190,187,selected
NM_006973,ZNF32,3,77,32,116,117,187,188,redundant_transcript
NM_001042399,CCDC41,16,137,21,163,165,260,229,redundant_transcript
NM_173666,DTWD2,6,106,65,118,119,163,121,selected
NM_032347,ZNF397,6,87,76,97,98,179,100,selected
NM_152408,C5orf37,11,49,77,128,75,155,97,redundant_transcript
NM_002013,FKBP3,7,170,252,222,211,390,246,selected
NM_139032,MAPK7,5,213,59,112,289,421,264,redundant_transcript
NM_018389,SLC35C1,2,334,127,154,176,677,426,selected
NM_017797,BTBD2,9,423,230,350,610,736,462,selected
NR_024155,SYK,14,442,226,468,1065,945,594,redundant_transcript
NM_003177,SYK,14,438,226,469,1065,947,595,selected
NM_153018,ZFP3,2,91,65,109,108,262,164,selected
NM_015578,LSM14A,10,547,646,797,562,1358,857,redundant_transcript
NM_000487,ARSA,8,202,107,181,326,610,383,redundant_transcript
NM_170681,GFM2,15,104,121,183,144,216,136,redundant_transcript
NM_014324,AMACR,5,66,43,155,153,245,305,selected
NM_023073,C5orf42,38,434,283,768,397,1699,1284,selected
NM_014323,PATZ1,5,210,137,219,362,432,209,selected
NM_001114108,TTC22,7,409,268,249,358,539,302,selected
NM_001722,POLR3D,9,172,112,155,203,555,288,selected
NM_014807,C2CD2L,14,242,158,216,203,564,386,selected
NM_001135053,SIGIRR,10,71,46,94,150,262,64,selected
NM_024040,CUEDC2,9,204,133,197,367,895,433,selected
NM_002494,NDUFC1,4,117,76,161,158,177,169,selected
NM_017785,CCDC99,12,163,106,165,127,180,122,selected
NM_019005,FLJ20323,13,406,265,735,373,885,639,selected
NM_138773,SLC25A46,8,350,228,458,301,709,571,selected
NM_018202,TMEM57,11,384,251,519,192,907,705,selected
NM_000922,PDE3B,16,71,46,46,174,541,158,selected
NM_018341,C6orf70,18,106,69,192,91,381,290,selected
